Skill,Count,Percentage,Definition,Evidence,Math Example
Structure Exploitation,1,2.272727272727273,The ability to structure exploitation in mathematical problem-solving.,No evidence provided.,Let  $n \geq 4$  be an even natural number and  $G$  be a subgroup of  $GL_2(\mathbb{C})$  with  $|G| = n.$  Prove that there exists  $H \leq G$  such that  $\{ I_2 \} \neq H$  and  $H \neq G$  such t...
Algebraic Manipulation,1,2.272727272727273,Transforming mathematical expressions using algebraic rules to reach more useful forms.,"> ""Using cot x = cos x/sin x and log 1/x = -log x:""
> ""D₂ = log₍ₑ₎(4/π) (cos²(θ+π/4)/sin(θ+π/4) - sin²(θ-π/4)/cos(θ-π/4))""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Pattern Recognition in Abstract Structures,1,2.272727272727273,The ability to pattern recognition in abstract structures in mathematical problem-solving.,No evidence provided.,"Compute the number of triples $(f, g, h)$ of permutations on $\{1,2,3,4,5\}$ such that $$ \begin{aligned} & f(g(h(x)))=h(g(f(x)))=g(x), \\ & g(h(f(x)))=f(h(g(x)))=h(x), \text { and } \\ & h(f(g(x)))=g..."
Structure Mapping,1,2.272727272727273,The ability to structure mapping in mathematical problem-solving.,No evidence provided.,"Let  $ G$  be a group such that if  $ a,b\in \mathbb{G}$  and  $ a^2b\equal{}ba^2$ , then  $ ab\equal{}ba$ ."
Counterexample Testing,1,2.272727272727273,The ability to counterexample testing in mathematical problem-solving.,No evidence provided.,"Let  $ G$  be a group such that if  $ a,b\in \mathbb{G}$  and  $ a^2b\equal{}ba^2$ , then  $ ab\equal{}ba$ ."
Verification Testing,1,2.272727272727273,The ability to verification testing in mathematical problem-solving.,No evidence provided.,Let  $n \geq 4$  be an even natural number and  $G$  be a subgroup of  $GL_2(\mathbb{C})$  with  $|G| = n.$  Prove that there exists  $H \leq G$  such that  $\{ I_2 \} \neq H$  and  $H \neq G$  such t...
Constraint Satisfaction,1,2.272727272727273,Identifying and working with constraints to narrow down the solution space.,"- ""From $5 = m_2x$ and $x = 5b_1$, we have $5 = m_2(5b_1)$, so $1 = m_2b_1$.""

Identified Skills: Backward reasoning, Forward reasoning","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Conceptual Unpacking,1,2.272727272727273,The ability to conceptual unpacking in mathematical problem-solving.,No evidence provided.,Let  $n \geq 4$  be an even natural number and  $G$  be a subgroup of  $GL_2(\mathbb{C})$  with  $|G| = n.$  Prove that there exists  $H \leq G$  such that  $\{ I_2 \} \neq H$  and  $H \neq G$  such t...
Knowledge Activation and Retrieval,1,2.272727272727273,The ability to knowledge activation and retrieval in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Representation Transformation,1,2.272727272727273,The ability to representation transformation in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Analogical Reasoning,1,2.272727272727273,The ability to analogical reasoning in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Metacognitive Monitoring,1,2.272727272727273,"Awareness and regulation of one's own thinking process, including recognizing when to check work or change approaches.","> ""This looks complicated. Let's recheck the calculations.""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Reformulation and Problem Transformation,1,2.272727272727273,The ability to reformulation and problem transformation in mathematical problem-solving.,No evidence provided.,"Let G, H be two finite groups, and let  $\varphi, \psi: G \to H$  be two surjective but non-injective homomorphisms. Prove that there exists an element of G that is not the identity element of G but w..."
Counting and Cardinality Analysis,1,2.272727272727273,The ability to counting and cardinality analysis in mathematical problem-solving.,No evidence provided.,"Let G, H be two finite groups, and let  $\varphi, \psi: G \to H$  be two surjective but non-injective homomorphisms. Prove that there exists an element of G that is not the identity element of G but w..."
Systematic Decomposition,1,2.272727272727273,The ability to systematic decomposition in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Logical Inference Chaining,1,2.272727272727273,The ability to logical inference chaining in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Pattern Recognition and Generalization,1,2.272727272727273,The ability to pattern recognition and generalization in mathematical problem-solving.,No evidence provided.,"Let  $A=\{1,2,\ldots,2012\}, \: B=\{1,2,\ldots,19\}$  and  $S$  be the set of all subsets of  $A.$  Find the number of functions  $f : S\to B$  satisfying  $f(A_1\cap A_2)=\min\{f(A_1),f(A_2)\}$  for ..."
Case Analysis,1,2.272727272727273,The ability to case analysis in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Structural Mapping,1,2.272727272727273,The ability to structural mapping in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Reformulation and Translation,1,2.272727272727273,Converting a problem from one representation to another that makes it more tractable.,"- The solver translates the abstract group theory problem into concrete linear algebra: ""H is the set of all linear combinations of these vectors with integer coefficients. $H = \{ a(3,8) + b(4,-1) + c(5,4) | a, b, c \in \mathbb{Z} \}$""
- Similarly for $H_{xy}$: ""$H_{xy} = \{ m(0,x) + n(1,y) | m, n \in \mathbb{Z} \} = \{ (n, mx+ny) | m, n \in \mathbb{Z} \}$""","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Strategic Knowledge Application,1,2.272727272727273,The ability to identify and apply domain-specific knowledge and algorithms that are relevant to the problem at hand.,"- ""Let's consider a Huffman-like approach, but adapted for this constraint.""
- ""Let's consider the Kraft-McMillan inequality. For unique decodability, $\sum D^{-l_i} \le 1$.""
- ""Optimal binary prefix code for probabilities $q_1, q_2, ..., q_k$ is given by Huffman coding.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Systematic Case Analysis,1,2.272727272727273,Breaking down a problem into distinct cases and methodically analyzing each one.,"- ""Since $x>0$ and $m_2$ is an integer, $x$ must be a positive divisor of 5. So $x \in \{1, 5\}$.""
- ""Case 1: $x=1$... Case 2: $x=5$...""
- Later, the solver systematically tests different values of $b_2$ (0 and 1) to find valid solutions.","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Bidirectional Reasoning,1,2.272727272727273,Working both forward from the given conditions and backward from the desired conclusion.,"- Forward reasoning: ""For $H \subseteq H_{xy}$:"" followed by expressing generators of H in terms of generators of $H_{xy}$
- Backward reasoning: ""For $H_{xy} \subseteq H$:"" followed by expressing generators of $H_{xy}$ in terms of generators of H","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Verification and Self,1,2.272727272727273,The ability to verification and self in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Property Propagation Analysis,1,2.272727272727273,The ability to property propagation analysis in mathematical problem-solving.,No evidence provided.,"Let  $ G$  be a group such that if  $ a,b\in \mathbb{G}$  and  $ a^2b\equal{}ba^2$ , then  $ ab\equal{}ba$ ."
