Skill,Count,Percentage,Definition,Evidence,Math Example
Pattern Recognition and Generalization,7,0.4940014114326041,The ability to pattern recognition and generalization in mathematical problem-solving.,No evidence provided.,"Let  $A=\{1,2,\ldots,2012\}, \: B=\{1,2,\ldots,19\}$  and  $S$  be the set of all subsets of  $A.$  Find the number of functions  $f : S\to B$  satisfying  $f(A_1\cap A_2)=\min\{f(A_1),f(A_2)\}$  for ..."
Metacognitive Monitoring,7,0.4940014114326041,"Awareness and regulation of one's own thinking process, including recognizing when to check work or change approaches.","> ""This looks complicated. Let's recheck the calculations.""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Proof Construction,7,0.4940014114326041,The ability to proof construction in mathematical problem-solving.,No evidence provided.,"Let be a group  $ G $  of order  $ 1+p, $  where  $ p $  is and odd prime. Show that if  $ p $  divides the number of automorphisms of  $ G, $  then  $ p\equiv 3\pmod 4. $"
Recursive Thinking,6,0.4234297812279464,The ability to recursive thinking in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
Domain Knowledge Application,6,0.4234297812279464,The ability to domain knowledge application in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Systematic Decomposition,6,0.4234297812279464,The ability to systematic decomposition in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Algebraic Manipulation and Simplification,6,0.4234297812279464,The ability to transform complex equations into simpler forms through step-by-step algebraic operations.,"The extensive algebraic work from ""We are given that $A_1 = \frac{59}{58} A_2$..."" through multiple steps to arrive at ""$r = \frac{116s}{118 - s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Problem Representation and Reformulation,5,0.35285815102328866,The ability to translate a problem into a workable mental model and reformulate it in different ways to gain new insights.,"- ""We can think of this as a prefix code problem, but with a constraint on the first symbol.""
- ""Consider the structure of the code. It is a ternary tree for the first level, and binary trees for the subsequent levels.""
- ""Consider the analogy of a source with a ternary symbol followed by binary.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Systematic Enumeration,5,0.35285815102328866,The ability to methodically list all possibilities in an organized manner without omissions.,"""The divisors are of the form $2^a \times 29^b \times 59^c$, where $0 \leq a \leq 3$, $0 \leq b \leq 1$, $0 \le

Identified Skills:",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Decomposition of Complex Problems,5,0.35285815102328866,The ability to decomposition of complex problems in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Systematic Problem Decomposition,5,0.35285815102328866,Breaking down a complex problem into manageable sub-problems or cases to make the solution process more tractable.,"The solver divides the problem into two distinct cases:
- ""Case 1: α+β ≠ 0""
- ""Case 2: α+β = 0, so β = -α""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Strategic Knowledge Application,5,0.35285815102328866,The ability to identify and apply domain-specific knowledge and algorithms that are relevant to the problem at hand.,"- ""Let's consider a Huffman-like approach, but adapted for this constraint.""
- ""Let's consider the Kraft-McMillan inequality. For unique decodability, $\sum D^{-l_i} \le 1$.""
- ""Optimal binary prefix code for probabilities $q_1, q_2, ..., q_k$ is given by Huffman coding.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Number Theory Application,4,0.2822865208186309,The ability to number theory application in mathematical problem-solving.,"The solver applies number theory concepts to simplify the final fraction:
> ""We need to simplify the fraction 246/784. Divide both numerator and denominator by their greatest common divisor.""
> ""Prime factorization of 123: 123 = 3 × 41. Prime factorization of 392: 392 = 2³ × 7²""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Geometric Visualization,4,0.2822865208186309,The ability to geometric visualization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Formula Retrieval and Application,4,0.2822865208186309,The ability to recall relevant mathematical formulas and apply them appropriately to the problem context.,"""The interior angle of a regular $n$-gon is given by the formula $\frac{(n-2) \times 180^\circ}{n}$ or $(1 - \frac{2}{n}) \times 180^\circ$.""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Proof by Contradiction,4,0.2822865208186309,The ability to proof by contradiction in mathematical problem-solving.,No evidence provided.,"<span style=""color:darkred""> Let  $(R,+,\cdot)$  be a ring and let  $f$  be a surjective endomorphism of  $R$  such that  $[x,f(x)]=0$  for any  $x\in R$  , where  $[a,b]=ab-ba$  ,  $a,b\in R$  . Prov..."
Theorem Application,4,0.2822865208186309,The ability to theorem application in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Dimensional Analysis,4,0.2822865208186309,The ability to dimensional analysis in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Calculus,4,0.2822865208186309,The ability to calculus in mathematical problem-solving.,No evidence provided.,1.2.2. A process called free convection occurs when the air density increases with altitude. At which values of $\Lambda$ does the free convection occur?
Structural Analysis,3,0.2117148906139732,The ability to structural analysis in mathematical problem-solving.,No evidence provided.,Let  $ \mathcal G$  be the set of all finite groups with at least two elements.
Coordinate Transformation,3,0.2117148906139732,The ability to coordinate transformation in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Number Theory Knowledge Application,3,0.2117148906139732,The ability to number theory knowledge application in mathematical problem-solving.,"- Using the prime factorization of 720 = $2^4 \cdot 3^2 \cdot 5$
- Applying Fermat's Little Theorem: $n^5 \equiv n \pmod{5}$
- Understanding that if $n \equiv 0 \pmod{6}$ and $n \equiv 0 \pmod{5}$, then $n \equiv 0 \pmod{30}$",Find the number of positive integers $n$ less than $2017$ such that \[1+n+\frac{n^2}{2!}+\frac{n^3}{3!}+\frac{n^4}{4!}+\frac{n^5}{5!}+\frac{n^6}{6!}\] is an integer.
Equation Formulation,3,0.2117148906139732,Converting geometric relationships into algebraic equations that can be solved.,"> ""The line EG passes through (0,0) and (5, h). The equation of the line is y = (h/5)x.""
> ""Area = (1/2) × 10 × (10 + (10 - 100/h)) = 5 × (20 - 100/h) = 100 - 500/h.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Coordinate Geometry Translation,3,0.2117148906139732,The ability to coordinate geometry translation in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Strategic Problem Decomposition,3,0.2117148906139732,Breaking down a complex problem into a sequence of well-defined sub-problems.,"The solver clearly decomposes the problem into sequential steps:
1. ""First, let's find the eigenvalues of the operator P.""
2. ""Now, let's find the eigenvectors corresponding to each eigenvalue.""
3. ""The probability of obtaining an eigenvalue is given by...""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Strategic Reformulation,3,0.2117148906139732,The ability to strategic reformulation in mathematical problem-solving.,No evidence provided.,Find the complex numbers  $ z$  for which the series
Constraint Satisfaction,3,0.2117148906139732,Identifying and working with constraints to narrow down the solution space.,"- ""From $5 = m_2x$ and $x = 5b_1$, we have $5 = m_2(5b_1)$, so $1 = m_2b_1$.""

Identified Skills: Backward reasoning, Forward reasoning","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Pattern Recognition in Abstract Structures,3,0.2117148906139732,The ability to pattern recognition in abstract structures in mathematical problem-solving.,No evidence provided.,"Compute the number of triples $(f, g, h)$ of permutations on $\{1,2,3,4,5\}$ such that $$ \begin{aligned} & f(g(h(x)))=h(g(f(x)))=g(x), \\ & g(h(f(x)))=f(h(g(x)))=h(x), \text { and } \\ & h(f(g(x)))=g..."
Domain Knowledge Integration,3,0.2117148906139732,Applying specialized knowledge from a specific field to interpret and solve problems.,"The solver identifies and explains relevant astrophysical concepts: ""Effective Temperature (Teff),"" ""LTE (Local Thermodynamic Equilibrium),"" ""Saha Equation,"" ""Blackbody Radiation,"" and ""Ionization Energy."" They then apply these concepts appropriately, such as when they write out the Saha equation: ""N<sub>i+1</sub> / N<sub>i</sub> ∝ (1/P<sub>e</sub>) * T<sup>3/2</sup> * exp(-χ / kT).""","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Decomposition,3,0.2117148906139732,The ability to decomposition in mathematical problem-solving.,No evidence provided.,Solve the crossword puzzle. You are presented with a clue as input and the number of letters in brackets.
Strategic Case Analysis,3,0.2117148906139732,The ability to strategic case analysis in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Hypothesis Testing and Verification,3,0.2117148906139732,Proposing a solution and then verifying its correctness through calculation.,"> ""Let's double-check the calculations. If h=25, the intersection points with the top of the square are: x₁ = 50/25 = 2, x₂ = 10 - 50/25 = 10 - 2 = 8.""
> ""Area of trapezoid = (1/2) × 10 × (10 + 6) = 5 × 16 = 80. This matches the given area.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Problem Representation and Formalization,3,0.2117148906139732,The ability to problem representation and formalization in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Problem Representation and Modeling,3,0.2117148906139732,The ability to problem representation and modeling in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Problem Representation and Translation,3,0.2117148906139732,The ability to problem representation and translation in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Strategic Simplification,2,0.14114326040931546,The ability to strategic simplification in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Modular Arithmetic,2,0.14114326040931546,The ability to modular arithmetic in mathematical problem-solving.,"- Analyzing $P(n)$ modulo 5: $P(n) \equiv n^3 + n^4 = n^3(1+n) \pmod{5}$
- Analyzing $P(n)$ modulo 9: $P(n) \equiv 0 + 3n + 3n^2 + 6n^3 + n^4 \pmod{9}$
- Analyzing $P(n)$ modulo 16: $P(n) \equiv 8 + 8n - 2n^2 + 6n^3 + n^4 \pmod{16}$",Find the number of positive integers $n$ less than $2017$ such that \[1+n+\frac{n^2}{2!}+\frac{n^3}{3!}+\frac{n^4}{4!}+\frac{n^5}{5!}+\frac{n^6}{6!}\] is an integer.
Pattern Recognition and Structural Analysis,2,0.14114326040931546,"The ability to identify common patterns, structures, or forms across different elements of a problem.","The solver immediately recognizes the similar structure across all three equations:
> ""The equations have a similar structure.""
> ""Consider the general form $\sqrt{a(b-c)} + \sqrt{c(b-a)}$.""

The solver also recognizes that all three equations can be approached using the same trigonometric substitution method.","Let $x,$ $y,$ and $z$ be positive real numbers satisfying the system of equations: \begin{align*} \sqrt{2x-xy} + \sqrt{2y-xy} &= 1 \\ \sqrt{2y-yz} + \sqrt{2z-yz} &= \sqrt2 \\ \sqrt{2z-zx} + \sqrt{2x-z..."
Modular Arithmetic Application,2,0.14114326040931546,The ability to modular arithmetic application in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
System of Equations Solving,2,0.14114326040931546,The ability to set up and solve multiple interrelated equations to find unknown parameters.,"- ""Comparing the coefficients with the given state:
  $ac = \frac{\sqrt{6}}{6}$
  $ad = \frac{\sqrt{6}}{6}$
  $bc = \frac{\sqrt{3}}{3}$
  $bd = \frac{\sqrt{3}}{3}$""
- ""From $ac = ad$, if $a \neq 0$, then $c = d$.""
- ""Dividing the two equations: $\frac{ak}{bk} = \frac{\sqrt{6}/6}{\sqrt{3}/3} = \frac{\sqrt{6}}{6} \times \frac{3}{\sqrt{3}} = \frac{\sqrt{2}}{2}$.""",Consider this quantum state
Optimization Reasoning,2,0.14114326040931546,The ability to optimization reasoning in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Parameterization,2,0.14114326040931546,The ability to parameterization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Hypothesis Testing,2,0.14114326040931546,The ability to hypothesis testing in mathematical problem-solving.,No evidence provided.,Solve the crossword puzzle. You are presented with a clue as input and the number of letters in brackets.
Coordinate System Transformation,2,0.14114326040931546,The ability to coordinate system transformation in mathematical problem-solving.,No evidence provided.,"a. Derive an expression for the deviation of the compass, $\delta \theta$, from north as a function of $K_{b}$, $K_{s}$, and $\theta$."
Hypothesis Generation and Testing,2,0.14114326040931546,Formulating multiple possible explanations or approaches and evaluating them against the problem constraints.,"- ""Consider the possibility that the stopping distance 's' from part 'a' is relevant.""
- ""Let's assume the net force causing the motion is dependent on position or time...""
- ""Let's assume the net force causing the motion depends on position, e.g., $F = kx$.""
- ""If the net force depends on time, e.g., $F = kt$.""","b. Let the box start at $x=0$, and let $t=0$ be the time the box first starts moving. Find the acceleration of the box in terms of $x, t, v_{0}, s$, and the other parameters, while the box is moving."
Systematic Exploration,2,0.14114326040931546,The ability to systematic exploration in mathematical problem-solving.,No evidence provided.,"Each lattice point with nonnegative coordinates is labeled with a nonnegative integer in such a way that the point $(0,0)$ is labeled by 0 , and for every $x, y \geq 0$, the set of numbers labeled on ..."
Physical Modeling,2,0.14114326040931546,"Translating a word problem into a physical model by identifying relevant forces, principles, and equations.","- ""We need to identify the forces acting on the box while it's moving.""
- ""Let's consider the forces acting on the box in the horizontal direction. Let $F_{app}$ be the applied force... and $F_k$ be the kinetic friction.""
- ""The net force $F_{net} = F_{app} - F_k$. We know that $F_k = \mu_k N$, where $N$ is the normal force.""","b. Let the box start at $x=0$, and let $t=0$ be the time the box first starts moving. Find the acceleration of the box in terms of $x, t, v_{0}, s$, and the other parameters, while the box is moving."
Domain Knowledge Activation,2,0.14114326040931546,Retrieving and applying specialized knowledge from long-term memory relevant to the problem domain.,"The solver immediately recalls key properties of the delta function potential:
- ""The potential V(x) = -α δ(x) has a single bound state.""
- ""The energy of this bound state is given by E = -mα^2 / (2ℏ^2).""
- Knowledge of the wavefunction form: ""ψ(x) = A e^(-κ|x|)""","A particle of mass m moves in a 1D potential given by V(x) = -α δ(x), where δ(x) is the usual Dirac delta function, and α is some positive constant. The particle is bound. Find the value of x0 such th..."
Reformulation and Representation Transformation,2,0.14114326040931546,The ability to reformulation and representation transformation in mathematical problem-solving.,No evidence provided.,"Let  $\Sigma$  be a finite set. For  $x,y \in \Sigma^{\ast}$ , define \[x\preceq y\] if  $x$  is a sub-string (**not necessarily contiguous**) of  $y$ . For example,  $ac \preceq abc$ . We call a set ..."
Quantitative Estimation and Calculation,2,0.14114326040931546,Converting conceptual relationships into numerical values through appropriate calculations.,"The solver performs several calculations:
- Converting wavelength to energy: ""χ ≈ 1.371 × 10⁻¹⁸ J""
- Calculating the exponential term: ""exp(1.504) ≈ 4.50""
- Computing the temperature ratio: ""(6000 / 5500)<sup>3/2</sup> = (1.0909)<sup>1.5</sup> ≈ 1.139""
- Determining the final ratio: ""R_no_spots / R_spots ≈ 1.139 * 4.50 ≈ 5.12""","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Algebraic Manipulation and Factorization,2,0.14114326040931546,The ability to algebraic manipulation and factorization in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Error Detection and Self,2,0.14114326040931546,The ability to identify errors or inconsistencies in one's work and make appropriate corrections.,"- ""Check if the state is normalized: $|c_1|^2 + |c_2|^2 + |c_3|^2 + |c_4|^2 = 1/15 + 2/15 + 4/15 + 16/15 = (1+2+4+16)/15 = 23/15$. The state is not normalized.""
- ""Let's re-evaluate the first method. The expectation value formula is valid even if the state is not normalized. $\langle H \rangle = \frac{\langle \psi | H | \psi \rangle}{\langle \psi | \psi \rangle}$""","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Algebraic Manipulation and Expansion,2,0.14114326040931546,The ability to algebraic manipulation and expansion in mathematical problem-solving.,No evidence provided.,"<span style=""color:darkred""> Let  $(R,+,\cdot)$  be a ring and let  $f$  be a surjective endomorphism of  $R$  such that  $[x,f(x)]=0$  for any  $x\in R$  , where  $[a,b]=ab-ba$  ,  $a,b\in R$  . Prov..."
