Skill,Count,Percentage,Definition,Evidence,Math Example
Hypothesis Testing and Verification,1,1.1904761904761905,Proposing a solution and then verifying its correctness through calculation.,"> ""Let's double-check the calculations. If h=25, the intersection points with the top of the square are: x₁ = 50/25 = 2, x₂ = 10 - 50/25 = 10 - 2 = 8.""
> ""Area of trapezoid = (1/2) × 10 × (10 + 6) = 5 × 16 = 80. This matches the given area.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Translating Problem Requirements into Mathematical Conditions,1,1.1904761904761905,The ability to translating problem requirements into mathematical conditions in mathematical problem-solving.,No evidence provided.,"Let  $ \mathcal{H}$  be an infinite-dimensional Hilbert space, let  $ d>0$ , and suppose that  $ S$  is a set of points (not necessarily countable) in  $ \mathcal{H}$  such that the distance between a..."
Conceptual,1,1.1904761904761905,The ability to connect abstract quantum mechanical concepts with specific mathematical procedures.,"- ""The basis vectors $|\phi_n>$ are eigenstates of the Hamiltonian operator $H$ such that $H |\phi_n> = n E_o |\phi_n>$.""
- ""The probability of finding the system in the state $|\phi_n\rangle$ is given by $|c_n|^2$, where $c_n$ is the coefficient of $|\phi_n\rangle$ in the expansion of $|\psi\

Identified Skills:","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Error Detection and Self,1,1.1904761904761905,The ability to identify errors or inconsistencies in one's work and make appropriate corrections.,"- ""Check if the state is normalized: $|c_1|^2 + |c_2|^2 + |c_3|^2 + |c_4|^2 = 1/15 + 2/15 + 4/15 + 16/15 = (1+2+4+16)/15 = 23/15$. The state is not normalized.""
- ""Let's re-evaluate the first method. The expectation value formula is valid even if the state is not normalized. $\langle H \rangle = \frac{\langle \psi | H | \psi \rangle}{\langle \psi | \psi \rangle}$""","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Multiple Solution Pathway Recognition,1,1.1904761904761905,The ability to identify and pursue different valid approaches to solve the same problem.,"- First approach: ""The average energy of the system is given by the expectation value of the Hamiltonian operator $H$, which is $\langle H \rangle = \langle \psi | H | \psi \rangle$.""
- Second approach: ""Alternatively, the probability of finding the system in the state $|\phi_n\rangle$ is given by $|c_n|^2$... The average energy is given by $\langle E \rangle = \sum_n P_n E_n = \sum_n |c_n|^2 E_n$.""","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Operator Application and Mathematical Formalism,1,1.1904761904761905,The ability to apply mathematical operators to quantum states and manipulate expressions following the formal rules of quantum mechanics.,"- ""First, let's find $H |\psi\rangle$: $H |\psi> = H (\sqrt{1/15} |\phi_1> + \sqrt{2/15} |\phi_2> + 2/ \sqrt{15} |\phi_3> + 4/ \sqrt{15} |\phi_4>)$""
- ""Using the eigenvalue equation $H |\phi_n> = n E_o |\phi_n>$: $H |\psi> = \sqrt{1/15} (1 E_o) |\phi_1> + \sqrt{2/15} (2 E_o) |\phi_2> + 2/ \sqrt{15} (3 E_o) |\phi_3> + 4/ \sqrt{15} (4 E_o) |\phi_4>$""","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Geometric Interpretation,1,1.1904761904761905,The ability to geometric interpretation in mathematical problem-solving.,No evidence provided.,Determine all real numbers $ a$ such that the inequality $ |x^2 + 2ax + 3a|\le2$ has exactly one solution in $ x$.
Algorithmic Thinking,1,1.1904761904761905,The ability to algorithmic thinking in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Formula Application and Recall,1,1.1904761904761905,The ability to recall and correctly apply relevant mathematical formulas to a problem.,"The solver immediately recalls and applies the vector projection formula: ""The projection of $\mathbf{a}$ onto $\mathbf{v}$ is given by $\text{proj}_{\mathbf{v}} \mathbf{a} = \frac{\mathbf{a} \cdot \mathbf{v}}{\|\mathbf{v}\|^2} \mathbf{v}$.""","When the vectors $\mathbf{a} = \begin{pmatrix} 1 \\ -1 \\ 2 \end{pmatrix}$ and $\mathbf{b} = \begin{pmatrix} 0 \\ 3 \\ 0 \end{pmatrix}$ are both projected onto the same vector $\mathbf{v},$ the result..."
Concept Translation Across Mathematical Domains,1,1.1904761904761905,The ability to concept translation across mathematical domains in mathematical problem-solving.,No evidence provided.,Let a neighborhood basis of a point  $ x$  of the real line consist of all Lebesgue-measurable sets containing  $ x$  whose density at  $ x$  equals  $ 1$ . Show that this requirement defines a topolo...
Property Verification Through Direct Calculation,1,1.1904761904761905,The ability to property verification through direct calculation in mathematical problem-solving.,No evidence provided.,Let a neighborhood basis of a point  $ x$  of the real line consist of all Lebesgue-measurable sets containing  $ x$  whose density at  $ x$  equals  $ 1$ . Show that this requirement defines a topolo...
Definition Unpacking and Formalization,1,1.1904761904761905,The ability to definition unpacking and formalization in mathematical problem-solving.,No evidence provided.,Let a neighborhood basis of a point  $ x$  of the real line consist of all Lebesgue-measurable sets containing  $ x$  whose density at  $ x$  equals  $ 1$ . Show that this requirement defines a topolo...
Systematic Decomposition of Problem Requirements,1,1.1904761904761905,The ability to systematic decomposition of problem requirements in mathematical problem-solving.,No evidence provided.,Let a neighborhood basis of a point  $ x$  of the real line consist of all Lebesgue-measurable sets containing  $ x$  whose density at  $ x$  equals  $ 1$ . Show that this requirement defines a topolo...
Conceptual Translation,1,1.1904761904761905,The ability to conceptual translation in mathematical problem-solving.,No evidence provided.,You identified several new antigens in a refractory pancreatic solid tumor and want to target them with the chimeric antigen receptor T-cell therapy. You design your chimera so that the cytosolic side...
Parameter Identification and Organization,1,1.1904761904761905,The ability to parameter identification and organization in mathematical problem-solving.,No evidence provided.,"Consider Convolutional Neural Network D2 which takes input images of size 32x32 with 1 colour channels. The first layer of D2 uses 4 filters of size 5x5, a stride of 2, and zero-padding of width 1. Co..."
Leveraging Duality Principles,1,1.1904761904761905,The ability to leveraging duality principles in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Spatial Reasoning,1,1.1904761904761905,The ability to spatial reasoning in mathematical problem-solving.,"The solver visualizes and reasons about geometric relationships:
- Conceptualizing how the midline divides the trapezoid: ""The midline divides the trapezoid into two smaller trapezoids of the same height $h/2$.""
- Understanding how a parallel segment divides areas: ""The upper region is a trapezoid with bases $b_2$ and $y$, and height $h_1$.""
- Using similar triangles to relate segment lengths: ""Using similar triangles, we have $\frac{y - b_2}{h_1} = \frac{b_1 - b_2}{h}$""",One base of a trapezoid is $100$ units longer than the other base. The segment that joins the midpoints of the legs divides the trapezoid into two regions whose areas are in the ratio $2: 3$ . Let $x$...
Pattern Recognition and Simplification,1,1.1904761904761905,Identifying mathematical patterns and using them to simplify expressions.,"> ""We have sin π = 0, cos π/2 = 0, tan π = 0.""
> ""D₁ = 2 + 2 sin² θ = 2(1 + sin² θ)""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Strategic Substitution,1,1.1904761904761905,The ability to strategic substitution in mathematical problem-solving.,No evidence provided.,"<span style=""color:darkred""> Let  $(R,+,\cdot)$  be a ring and let  $f$  be a surjective endomorphism of  $R$  such that  $[x,f(x)]=0$  for any  $x\in R$  , where  $[a,b]=ab-ba$  ,  $a,b\in R$  . Prov..."
Mathematical Formalization,1,1.1904761904761905,Converting a verbal problem description into precise mathematical notation and structures.,"The solver immediately translates the problem statement into mathematical form:
- ""The state vector is given by $|\psi (t)> = \begin{pmatrix} 1/6 \\ 0 \\ 4/6 \end{pmatrix}$.""
- ""The operator P is given by the matrix $P = \begin{pmatrix} \sqrt{2} & 0 & 0 \\ 0 & 1/\sqrt{2} & i/\sqrt{2} \\ 0 & -i/\sqrt{2} & 1/\sqrt{2} \end{pmatrix}$.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Strategic Problem Decomposition,1,1.1904761904761905,Breaking down a complex problem into a sequence of well-defined sub-problems.,"The solver clearly decomposes the problem into sequential steps:
1. ""First, let's find the eigenvalues of the operator P.""
2. ""Now, let's find the eigenvectors corresponding to each eigenvalue.""
3. ""The probability of obtaining an eigenvalue is given by...""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Procedural Fluency in Linear Algebra,1,1.1904761904761905,Executing standard linear algebra procedures accurately and efficiently.,"- Setting up and solving the characteristic equation: ""det(P - λI) = $(\sqrt{2}-\lambda) \times [ (1/\sqrt{2}-\lambda)^2 - (i/\sqrt{2})(-i/\sqrt{2}) ]$""
- Finding eigenvectors by solving systems of equations: ""$(P - 0I)v = 0$""
- Normalizing vectors: ""$|v_0| = \sqrt{0^2 + |-i|^2 + 1^2} = \sqrt{0 + 1 + 1} = \sqrt{2}$""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Conceptual Understanding of Quantum Mechanics,1,1.1904761904761905,Applying the theoretical principles of quantum mechanics to interpret mathematical results.,"- Understanding degenerate eigenvalues: ""The degenerate eigenvalue is $\sqrt{2}$, and its degeneracy is 2.""
- Knowledge of quantum measurement: ""The probability of obtaining an eigenvalue is given by $|\langle v' | \psi \rangle|^2$""
- Understanding projection operators for degenerate subspaces: ""The projection operator onto the degenerate subspace is $P_{\sqrt{2}} = |v_{\sqrt{2},1}'\rangle\langle v_{\sqrt{2},1}'| + |v_{\sqrt{2},2}'\rangle\langle v_{\sqrt{2},2}'|$.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Complex Calculation Management,1,1.1904761904761905,Maintaining accuracy through multi-step calculations involving complex numbers and matrices.,"- Correctly manipulating complex numbers: ""$-i/\sqrt{2}y + 1/\sqrt{2}z = 0 \

Identified Skills:","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Reformulation and Problem Translation,1,1.1904761904761905,The ability to reformulation and problem translation in mathematical problem-solving.,No evidence provided.,Let  $\rho:G\to GL(V)$  be a representation of a finite  $p$ -group  $G$  over a field of characteristic  $p$ . Prove that if the restriction of the linear map  $\sum_{g\in G} \rho(g)$  to a finite di...
Strategic Operator Application,1,1.1904761904761905,The ability to strategic operator application in mathematical problem-solving.,No evidence provided.,Let  $\rho:G\to GL(V)$  be a representation of a finite  $p$ -group  $G$  over a field of characteristic  $p$ . Prove that if the restriction of the linear map  $\sum_{g\in G} \rho(g)$  to a finite di...
Assumption,1,1.1904761904761905,The ability to assumption in mathematical problem-solving.,No evidence provided.,Let  $\rho:G\to GL(V)$  be a representation of a finite  $p$ -group  $G$  over a field of characteristic  $p$ . Prove that if the restriction of the linear map  $\sum_{g\in G} \rho(g)$  to a finite di...
Algebraic Manipulation and Rearrangement,1,1.1904761904761905,The ability to algebraic manipulation and rearrangement in mathematical problem-solving.,No evidence provided.,Let  $\rho:G\to GL(V)$  be a representation of a finite  $p$ -group  $G$  over a field of characteristic  $p$ . Prove that if the restriction of the linear map  $\sum_{g\in G} \rho(g)$  to a finite di...
Decomposition of Complex Problems,1,1.1904761904761905,The ability to decomposition of complex problems in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Strategic Determinant Evaluation,1,1.1904761904761905,Selecting appropriate techniques for evaluating determinants based on their structure.,"> ""Expanding the determinant along the first row: D₁ = 1 · |...| - sin θ · |...| + 1 · |...|""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Strategic Testing with Special Cases,1,1.1904761904761905,Evaluating expressions at specific values to gain insights or verify approaches.,"> ""Let's consider specific values of θ. If θ = π/4, then θ - π/4 = 0 and θ + π/4 = π/2.""
> ""sin(0) = 0, cos(0) = 1, sin(π/2) = 1, cos(π/2) = 0.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Dimensional Analysis,1,1.1904761904761905,The ability to dimensional analysis in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Metacognitive Monitoring,1,1.1904761904761905,"Awareness and regulation of one's own thinking process, including recognizing when to check work or change approaches.","> ""This looks complicated. Let's recheck the calculations.""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Symbolic Substitution,1,1.1904761904761905,Replacing complex expressions with simpler symbols to manage cognitive load.,"The solver uses D₁ and D₂ to represent the determinants:
> ""D₁ = |...|""
> ""D₂ = |...|""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Trigonometric Knowledge Application,1,1.1904761904761905,Applying specialized knowledge of trigonometric functions and identities.,"> ""Using cot x = cos x/sin

Identified Skills:","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Systematic Problem Decomposition,1,1.1904761904761905,Breaking down a complex problem into manageable sub-problems or cases to make the solution process more tractable.,"The solver divides the problem into two distinct cases:
- ""Case 1: α+β ≠ 0""
- ""Case 2: α+β = 0, so β = -α""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Pattern Recognition and Structure Identification,1,1.1904761904761905,The ability to pattern recognition and structure identification in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Probabilistic Reasoning,1,1.1904761904761905,The ability to probabilistic reasoning in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Subgoal Setting,1,1.1904761904761905,The ability to subgoal setting in mathematical problem-solving.,The solver breaks down the main problem into smaller objectives.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
Abstraction,1,1.1904761904761905,The ability to abstraction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Backward Chaining,1,1.1904761904761905,The ability to backward chaining in mathematical problem-solving.,The solver starts with the goal (finding the sum of f(σ)) and works backward to identify what needs to be calculated (the sum of cycles).,"For a permutation $\sigma$ of $1,2, \ldots, 7$, a transposition is a swapping of two elements. Let $f(\sigma)$ be the minimum number of transpositions necessary to turn $\sigma$ into the permutation $..."
Sequential Construction,1,1.1904761904761905,The ability to sequential construction in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Property Analysis,1,1.1904761904761905,The ability to property analysis in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Invoking Relevant Theorems,1,1.1904761904761905,The ability to invoking relevant theorems in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Geometric Visualization,1,1.1904761904761905,The ability to geometric visualization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
