Skill,Count,Percentage,Definition,Evidence,Math Example
Problem Decomposition,5,1.5873015873015872,"Breaking down a complex problem into smaller, more manageable components.","""Let's break down this problem step by step, combining physics principles and problem-solving strategies."" The solver then proceeds to organize their approach into distinct phases: understanding the problem, identifying key concepts, formulating a strategy, and executing step-by-step.","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Strategic Knowledge Application,3,0.9523809523809524,The ability to identify and apply domain-specific knowledge and algorithms that are relevant to the problem at hand.,"- ""Let's consider a Huffman-like approach, but adapted for this constraint.""
- ""Let's consider the Kraft-McMillan inequality. For unique decodability, $\sum D^{-l_i} \le 1$.""
- ""Optimal binary prefix code for probabilities $q_1, q_2, ..., q_k$ is given by Huffman coding.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Algebraic Manipulation,3,0.9523809523809524,Transforming mathematical expressions using algebraic rules to reach more useful forms.,"> ""Using cot x = cos x/sin x and log 1/x = -log x:""
> ""D₂ = log₍ₑ₎(4/π) (cos²(θ+π/4)/sin(θ+π/4) - sin²(θ-π/4)/cos(θ-π/4))""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Forward Chaining,3,0.9523809523809524,The ability to forward chaining in mathematical problem-solving.,"The solver works from the given information (coin probabilities) toward the goal (probability of equal heads):
> ""The problem asks for the probability that Jackie and Phil get the same number of heads when each flips three coins...""
> [Proceeds through calculations to reach] ""The probability is 123/392.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Self,3,0.9523809523809524,Actively monitoring one's problem-solving process and identifying inconsistencies or errors.,"- ""Something is wrong, the probabilities should sum to 1.""
- ""Let's recheck the eigenvectors.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Case Analysis and Decomposition,2,0.6349206349206349,The ability to case analysis and decomposition in mathematical problem-solving.,No evidence provided.,"A frog begins at $P_0 = (0,0)$ and makes a sequence of jumps according to the following rule: from $P_n = (x_n, y_n),$ the frog jumps to $P_{n+1},$ which may be any of the points $(x_n + 7, y_n + 2),$..."
Geometric Visualization,2,0.6349206349206349,The ability to geometric visualization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Case,2,0.6349206349206349,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Number Theory Knowledge Application,2,0.6349206349206349,The ability to number theory knowledge application in mathematical problem-solving.,"- Using the prime factorization of 720 = $2^4 \cdot 3^2 \cdot 5$
- Applying Fermat's Little Theorem: $n^5 \equiv n \pmod{5}$
- Understanding that if $n \equiv 0 \pmod{6}$ and $n \equiv 0 \pmod{5}$, then $n \equiv 0 \pmod{30}$",Find the number of positive integers $n$ less than $2017$ such that \[1+n+\frac{n^2}{2!}+\frac{n^3}{3!}+\frac{n^4}{4!}+\frac{n^5}{5!}+\frac{n^6}{6!}\] is an integer.
Mathematical Formalism,2,0.6349206349206349,The ability to mathematical formalism in mathematical problem-solving.,No evidence provided.,"Ten adults enter a room, remove their shoes, and toss their shoes into a pile. Later, a child randomly pairs each left shoe with a right shoe without regard to which shoes belong together. The probabi..."
Systematic Case Analysis,2,0.6349206349206349,Breaking down a problem into distinct cases and methodically analyzing each one.,"- ""Since $x>0$ and $m_2$ is an integer, $x$ must be a positive divisor of 5. So $x \in \{1, 5\}$.""
- ""Case 1: $x=1$... Case 2: $x=5$...""
- Later, the solver systematically tests different values of $b_2$ (0 and 1) to find valid solutions.","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Number Theory Application,2,0.6349206349206349,The ability to number theory application in mathematical problem-solving.,"The solver applies number theory concepts to simplify the final fraction:
> ""We need to simplify the fraction 246/784. Divide both numerator and denominator by their greatest common divisor.""
> ""Prime factorization of 123: 123 = 3 × 41. Prime factorization of 392: 392 = 2³ × 7²""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Algebraic Manipulation and Simplification,1,0.31746031746031744,The ability to transform complex equations into simpler forms through step-by-step algebraic operations.,"The extensive algebraic work from ""We are given that $A_1 = \frac{59}{58} A_2$..."" through multiple steps to arrive at ""$r = \frac{116s}{118 - s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Recursive Thinking,1,0.31746031746031744,The ability to recursive thinking in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
Systematic Testing and Verification,1,0.31746031746031744,The ability to systematic testing and verification in mathematical problem-solving.,No evidence provided.,"The real root of the equation $8x^3-3x^2-3x-1=0$ can be written in the form $\frac{\sqrt[3]{a}+\sqrt[3]{b}+1}{c}$ , where $a$ , $b$ , and $c$ are positive integers. Find $a+b+c$ ."
Rational Root Theorem Application,1,0.31746031746031744,The ability to rational root theorem application in mathematical problem-solving.,No evidence provided.,"The real root of the equation $8x^3-3x^2-3x-1=0$ can be written in the form $\frac{\sqrt[3]{a}+\sqrt[3]{b}+1}{c}$ , where $a$ , $b$ , and $c$ are positive integers. Find $a+b+c$ ."
Equation Transformation and Substitution,1,0.31746031746031744,The ability to equation transformation and substitution in mathematical problem-solving.,No evidence provided.,"The real root of the equation $8x^3-3x^2-3x-1=0$ can be written in the form $\frac{\sqrt[3]{a}+\sqrt[3]{b}+1}{c}$ , where $a$ , $b$ , and $c$ are positive integers. Find $a+b+c$ ."
Decomposition,1,0.31746031746031744,The ability to decomposition in mathematical problem-solving.,No evidence provided.,Solve the crossword puzzle. You are presented with a clue as input and the number of letters in brackets.
Systematic Exploration,1,0.31746031746031744,The ability to systematic exploration in mathematical problem-solving.,No evidence provided.,"Each lattice point with nonnegative coordinates is labeled with a nonnegative integer in such a way that the point $(0,0)$ is labeled by 0 , and for every $x, y \geq 0$, the set of numbers labeled on ..."
Strategic Hypothesis Testing,1,0.31746031746031744,The ability to strategic hypothesis testing in mathematical problem-solving.,No evidence provided.,"Alice and Bianca have one hundred marbles. At the start of the game they split these hundred marbles into two piles. Thereafter, a move consists of choosing a pile, then choosing a positive integer no..."
Game Theory Framework Application,1,0.31746031746031744,The ability to game theory framework application in mathematical problem-solving.,No evidence provided.,"Alice and Bianca have one hundred marbles. At the start of the game they split these hundred marbles into two piles. Thereafter, a move consists of choosing a pile, then choosing a positive integer no..."
Knowledge Retrieval and Application,1,0.31746031746031744,"Recalling relevant mathematical facts, formulas, and properties and applying them appropriately to the problem.","The solver recalls and applies orthogonality properties of sine functions:
```
$\int_{-\pi}^{\pi} \sin(px)\sin(qx)\ dx = \begin{cases} 0 & \text{if } p \neq q \\ \pi & \text{if } p = q \neq 0 \\ 0 & \text{if } p = q = 0 \end{cases}$
```

They also apply trigonometric identities:
```
$\sin^2 \theta = \frac{1 - \cos 2\theta}{2}$
```","For integers  $k\ (0\leq k\leq 5)$ , positive numbers  $m,\ n$  and real numbers  $a,\ b$ , let  $f(k)=\int_{-\pi}^{\pi}(\sin kx-a\sin mx-b\sin nx)^{2}\ dx$ ,"
"Number Theory Knowledge

Top Skills",1,0.31746031746031744,"The ability to number theory knowledge

top skills in mathematical problem-solving.",No evidence provided.,"Let $S$ be the set of integers between 1 and $2^{40}$ whose binary expansions have exactly two 1's. If a number is chosen at random from $S,$ the probability that it is divisible by 9 is $p/q,$ where ..."
Iterative Refinement,1,0.31746031746031744,The ability to iterative refinement in mathematical problem-solving.,No evidence provided.,"The following image is 1024 pixels by 1024 pixels, and each pixel is either black or white. The border defines the boundaries of the image, but is not part of the image. Let $a$ be the proportion of p..."
Example,1,0.31746031746031744,The ability to example in mathematical problem-solving.,No evidence provided.,"Carl chooses a *functional expression**  $E$  which is a finite nonempty string formed from a set  $x_1, x_2, \dots$  of variables and applications of a function  $f$ , together with addition, subtrac..."
Mathematical Equivalence Recognition,1,0.31746031746031744,The ability to mathematical equivalence recognition in mathematical problem-solving.,No evidence provided.,"Carl chooses a *functional expression**  $E$  which is a finite nonempty string formed from a set  $x_1, x_2, \dots$  of variables and applications of a function  $f$ , together with addition, subtrac..."
Mathematical Estimation and Bounding,1,0.31746031746031744,The ability to mathematical estimation and bounding in mathematical problem-solving.,No evidence provided.,Let  $ \mathcal G$  be the set of all finite groups with at least two elements.
Structural Analysis,1,0.31746031746031744,The ability to structural analysis in mathematical problem-solving.,No evidence provided.,Let  $ \mathcal G$  be the set of all finite groups with at least two elements.
Systematic Decomposition,1,0.31746031746031744,The ability to systematic decomposition in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Cubic Equation Solution Methods,1,0.31746031746031744,The ability to cubic equation solution methods in mathematical problem-solving.,No evidence provided.,"The real root of the equation $8x^3-3x^2-3x-1=0$ can be written in the form $\frac{\sqrt[3]{a}+\sqrt[3]{b}+1}{c}$ , where $a$ , $b$ , and $c$ are positive integers. Find $a+b+c$ ."
Pattern Recognition and Form Matching,1,0.31746031746031744,The ability to pattern recognition and form matching in mathematical problem-solving.,No evidence provided.,"The real root of the equation $8x^3-3x^2-3x-1=0$ can be written in the form $\frac{\sqrt[3]{a}+\sqrt[3]{b}+1}{c}$ , where $a$ , $b$ , and $c$ are positive integers. Find $a+b+c$ ."
Problem Reformulation,1,0.31746031746031744,The ability to problem reformulation in mathematical problem-solving.,No evidence provided.,"Find the least positive integer $n$ such that when $3^n$ is written in base $143$ , its two right-most digits in base $143$ are $01$ ."
Conversion Between Representation Systems,1,0.31746031746031744,The ability to conversion between representation systems in mathematical problem-solving.,No evidence provided.,"The number  $r$  can be expressed as a four-place decimal  $0.abcd,$  where  $a, b, c,$  and  $d$  represent digits, any of which could be zero.  It is desired to approximate  $r$  by a fraction whose..."
Strategic Problem Decomposition,1,0.31746031746031744,Breaking down a complex problem into a sequence of well-defined sub-problems.,"The solver clearly decomposes the problem into sequential steps:
1. ""First, let's find the eigenvalues of the operator P.""
2. ""Now, let's find the eigenvectors corresponding to each eigenvalue.""
3. ""The probability of obtaining an eigenvalue is given by...""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Systematic Decomposition of the Problem,1,0.31746031746031744,The ability to systematic decomposition of the problem in mathematical problem-solving.,No evidence provided.,"The number  $r$  can be expressed as a four-place decimal  $0.abcd,$  where  $a, b, c,$  and  $d$  represent digits, any of which could be zero.  It is desired to approximate  $r$  by a fraction whose..."
System of Equations Solving,1,0.31746031746031744,The ability to set up and solve multiple interrelated equations to find unknown parameters.,"- ""Comparing the coefficients with the given state:
  $ac = \frac{\sqrt{6}}{6}$
  $ad = \frac{\sqrt{6}}{6}$
  $bc = \frac{\sqrt{3}}{3}$
  $bd = \frac{\sqrt{3}}{3}$""
- ""From $ac = ad$, if $a \neq 0$, then $c = d$.""
- ""Dividing the two equations: $\frac{ak}{bk} = \frac{\sqrt{6}/6}{\sqrt{3}/3} = \frac{\sqrt{6}}{6} \times \frac{3}{\sqrt{3}} = \frac{\sqrt{2}}{2}$.""",Consider this quantum state
Trigonometric Identity Application,1,0.31746031746031744,The ability to recall and appropriately apply specialized trigonometric identities to transform complex expressions.,"""We can use the identity $\sin(3x) = 3\sin(x) - 4\sin^3(x)$, which implies $4\sin^3(x) = 3\sin(x) - \sin(3x)$. So, $\sin^3(x) = \frac{1}{4} (3\sin(x) - \sin(3x))$.""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Numerical Approximation and Estimation,1,0.31746031746031744,The ability to numerical approximation and estimation in mathematical problem-solving.,No evidence provided.,"The number  $r$  can be expressed as a four-place decimal  $0.abcd,$  where  $a, b, c,$  and  $d$  represent digits, any of which could be zero.  It is desired to approximate  $r$  by a fraction whose..."
Strategic Substitution,1,0.31746031746031744,The ability to strategic substitution in mathematical problem-solving.,No evidence provided.,"<span style=""color:darkred""> Let  $(R,+,\cdot)$  be a ring and let  $f$  be a surjective endomorphism of  $R$  such that  $[x,f(x)]=0$  for any  $x\in R$  , where  $[a,b]=ab-ba$  ,  $a,b\in R$  . Prov..."
Interval Boundary Determination,1,0.31746031746031744,The ability to interval boundary determination in mathematical problem-solving.,No evidence provided.,"The number  $r$  can be expressed as a four-place decimal  $0.abcd,$  where  $a, b, c,$  and  $d$  represent digits, any of which could be zero.  It is desired to approximate  $r$  by a fraction whose..."
Pattern Recognition and Structural Analysis,1,0.31746031746031744,"The ability to identify common patterns, structures, or forms across different elements of a problem.","The solver immediately recognizes the similar structure across all three equations:
> ""The equations have a similar structure.""
> ""Consider the general form $\sqrt{a(b-c)} + \sqrt{c(b-a)}$.""

The solver also recognizes that all three equations can be approached using the same trigonometric substitution method.","Let $x,$ $y,$ and $z$ be positive real numbers satisfying the system of equations: \begin{align*} \sqrt{2x-xy} + \sqrt{2y-xy} &= 1 \\ \sqrt{2y-yz} + \sqrt{2z-yz} &= \sqrt2 \\ \sqrt{2z-zx} + \sqrt{2x-z..."
Optimization Reasoning,1,0.31746031746031744,The ability to optimization reasoning in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Visual Representation,1,0.31746031746031744,The ability to visual representation in mathematical problem-solving.,"Though not explicitly shown, the solver clearly creates a mental model:
- References to ""upper trapezoid"" and ""lower trapezoid""
- Discussion of heights, bases, and parallel segments

## Primary Cognitive Skills Summary (Ranked by Importance)

1. **Symbolic Manipulation** - The most essential skill demonstrated, as the entire solution depends on setting up and solving algebraic equations representing geometric relationships.",One base of a trapezoid is $100$ units longer than the other base. The segment that joins the midpoints of the legs divides the trapezoid into two regions whose areas are in the ratio $2: 3$ . Let $x$...
Prime Factorization and Number Theory Knowledge,1,0.31746031746031744,The ability to prime factorization and number theory knowledge in mathematical problem-solving.,No evidence provided.,"Let $S$ be the set of positive integer divisors of $20^9.$ Three numbers are chosen independently and at random with replacement from the set $S$ and labeled $a_1,a_2,$ and $a_3$ in the order they are..."
Exhaustive Consideration of Cases,1,0.31746031746031744,The ability to exhaustive consideration of cases in mathematical problem-solving.,No evidence provided.,"The number  $r$  can be expressed as a four-place decimal  $0.abcd,$  where  $a, b, c,$  and  $d$  represent digits, any of which could be zero.  It is desired to approximate  $r$  by a fraction whose..."
Algebraic Manipulation and Symbolic Computation,1,0.31746031746031744,The ability to algebraic manipulation and symbolic computation in mathematical problem-solving.,No evidence provided.,"A sequence  $(a_n)$  is defined recursively by  $a_1=0, a_2=1$  and for  $n\ge 3$ ,"
Pattern Recognition and Empirical Testing,1,0.31746031746031744,The ability to pattern recognition and empirical testing in mathematical problem-solving.,No evidence provided.,"A sequence  $(a_n)$  is defined recursively by  $a_1=0, a_2=1$  and for  $n\ge 3$ ,"
Reformulation and Representation Transformation,1,0.31746031746031744,The ability to reformulation and representation transformation in mathematical problem-solving.,No evidence provided.,"Let  $\Sigma$  be a finite set. For  $x,y \in \Sigma^{\ast}$ , define \[x\preceq y\] if  $x$  is a sub-string (**not necessarily contiguous**) of  $y$ . For example,  $ac \preceq abc$ . We call a set ..."
Probability Modeling,1,0.31746031746031744,The ability to probability modeling in mathematical problem-solving.,"The solver immediately models the problem using probability theory, defining random variables X_J and X_P for Jackie and Phil's number of heads, and recognizing the need to find P(X_J = X_P).","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Number Theory Knowledge,1,0.31746031746031744,The ability to number theory knowledge in mathematical problem-solving.,No evidence provided.,A container in the shape of a right circular cone is 12 inches tall and its base has a 5-inch radius. The liquid that is sealed inside is 9 inches deep when the cone is held with its point down and it...
Group Theory Conceptualization,1,0.31746031746031744,The ability to group theory conceptualization in mathematical problem-solving.,No evidence provided.,"Ten adults enter a room, remove their shoes, and toss their shoes into a pile. Later, a child randomly pairs each left shoe with a right shoe without regard to which shoes belong together. The probabi..."
Systematic Enumeration,1,0.31746031746031744,The ability to methodically list all possibilities in an organized manner without omissions.,"""The divisors are of the form $2^a \times 29^b \times 59^c$, where $0 \leq a \leq 3$, $0 \leq b \leq 1$, $0 \le

Identified Skills:",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Mathematical Formalization,1,0.31746031746031744,Converting a verbal problem description into precise mathematical notation and structures.,"The solver immediately translates the problem statement into mathematical form:
- ""The state vector is given by $|\psi (t)> = \begin{pmatrix} 1/6 \\ 0 \\ 4/6 \end{pmatrix}$.""
- ""The operator P is given by the matrix $P = \begin{pmatrix} \sqrt{2} & 0 & 0 \\ 0 & 1/\sqrt{2} & i/\sqrt{2} \\ 0 & -i/\sqrt{2} & 1/\sqrt{2} \end{pmatrix}$.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Modular Arithmetic,1,0.31746031746031744,The ability to modular arithmetic in mathematical problem-solving.,"- Analyzing $P(n)$ modulo 5: $P(n) \equiv n^3 + n^4 = n^3(1+n) \pmod{5}$
- Analyzing $P(n)$ modulo 9: $P(n) \equiv 0 + 3n + 3n^2 + 6n^3 + n^4 \pmod{9}$
- Analyzing $P(n)$ modulo 16: $P(n) \equiv 8 + 8n - 2n^2 + 6n^3 + n^4 \pmod{16}$",Find the number of positive integers $n$ less than $2017$ such that \[1+n+\frac{n^2}{2!}+\frac{n^3}{3!}+\frac{n^4}{4!}+\frac{n^5}{5!}+\frac{n^6}{6!}\] is an integer.
Domain,1,0.31746031746031744,The ability to domain in mathematical problem-solving.,The solver applies specialized chemical knowledge throughout.,A decrease in activity in the electrophilic mononitration reaction (given that in all cases the mechanism of the reaction is the same) is observed in the sequence:
Equation Manipulation and Algebraic Reasoning,1,0.31746031746031744,The ability to equation manipulation and algebraic reasoning in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Strategic Flexibility and Multiple Approach Consideration,1,0.31746031746031744,The ability to strategic flexibility and multiple approach consideration in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Parameterization,1,0.31746031746031744,The ability to parameterization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Problem Representation and Translation,1,0.31746031746031744,The ability to problem representation and translation in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Verification and Validation,1,0.31746031746031744,The ability to verification and validation in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Strategic Equation Transformation,1,0.31746031746031744,The ability to strategic equation transformation in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Case Analysis and Branching,1,0.31746031746031744,The ability to case analysis and branching in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Algebraic Manipulation and Factorization,1,0.31746031746031744,The ability to algebraic manipulation and factorization in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Alternative Strategy Generation,1,0.31746031746031744,The ability to alternative strategy generation in mathematical problem-solving.,No evidence provided.,"Find the number of positive integers that are divisors of at least one of $10^{10},15^7,18^{11}.$"
Systematic Approach to Subproblems,1,0.31746031746031744,The ability to systematic approach to subproblems in mathematical problem-solving.,No evidence provided.,"Find the number of positive integers that are divisors of at least one of $10^{10},15^7,18^{11}.$"
Number Theory Expertise,1,0.31746031746031744,The ability to number theory expertise in mathematical problem-solving.,No evidence provided.,"Find the number of positive integers that are divisors of at least one of $10^{10},15^7,18^{11}.$"
Alternative Approach Consideration,1,0.31746031746031744,The ability to alternative approach consideration in mathematical problem-solving.,"The solver begins an alternative approach when they say:
> ""Alternative approach: Consider the outcomes for each coin.""
This shows willingness to explore different solution paths.","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Constraint Application,1,0.31746031746031744,The ability to constraint application in mathematical problem-solving.,No evidence provided.,"How many positive integers have exactly three proper divisors (positive integral divisors excluding itself), each of which is less than 50?"
Problem Representation and Modeling,1,0.31746031746031744,The ability to problem representation and modeling in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Pattern Recognition in Abstract Structures,1,0.31746031746031744,The ability to pattern recognition in abstract structures in mathematical problem-solving.,No evidence provided.,"Compute the number of triples $(f, g, h)$ of permutations on $\{1,2,3,4,5\}$ such that $$ \begin{aligned} & f(g(h(x)))=h(g(f(x)))=g(x), \\ & g(h(f(x)))=f(h(g(x)))=h(x), \text { and } \\ & h(f(g(x)))=g..."
Pattern Recognition and Symmetry Exploitation,1,0.31746031746031744,The ability to pattern recognition and symmetry exploitation in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Decomposition of Complex Problems,1,0.31746031746031744,The ability to decomposition of complex problems in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
